df_index,stream,Zscore,district_rank,island_rank,al_year,sub1,sub1_r,sub2,sub2_r,sub3,sub3_r,cgt_r,ge_r,syllabus,birth_day,birth_month,birth_year,gender
54,ARTS,1.4195,585 (NEW),6563,2020,ECONOMICS,A,POLITICAL SCIENCE,A,ISLAM,A,038,B,new,20,July,2001,female
166,COMMERCE,1.6087,717 (NEW),2713,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,B,new,26,July,2001,male
491,COMMERCE,1.5054,922 (NEW),3688,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,032,A,new,24,January,2002,female
589,COMMERCE,1.3893,1180 (NEW),5023,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,3,April,2001,female
597,COMMERCE,1.6203,695 (NEW),2637,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,8,July,2001,female
659,COMMERCE,1.6017,731 (NEW),2768,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,A,new,31,May,2001,female
719,COMMERCE,1.6141,705 (NEW),2679,2020,ECONOMICS,A,BUSINESS STATISTICS,A,ACCOUNTING,A,062,A,new,15,November,2001,female
1249,ARTS,1.5991,398 (NEW),3673,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,ISLAMIC CIVILIZATION,A,036,B,new,23,March,2001,female
1287,ARTS,1.4919,504 (NEW),5252,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,ISLAMIC CIVILIZATION,A,042,A,new,30,July,2001,female
1323,COMMERCE,1.4422,1062 (NEW),4389,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,B,new,6,April,2001,female
1366,COMMERCE,1.4769,975 (NEW),3993,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,29,October,2001,male
1580,COMMERCE,1.5402,856 (NEW),3343,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,B,new,11,November,2001,male
1593,COMMERCE,1.5235,884 (NEW),3510,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,A,new,19,July,2001,male
1645,COMMERCE,1.5824,766 (NEW),2934,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,A,new,28,October,2001,male
1701,COMMERCE,1.5191,892 (NEW),3550,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,23,August,2001,male
1736,COMMERCE,1.613,708 (NEW),2687,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,5,June,2001,male
1837,COMMERCE,1.3574,1252 (NEW),5412,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,4,May,2001,male
1910,COMMERCE,1.4661,1003 (NEW),4112,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,A,new,16,November,2001,male
1971,COMMERCE,1.601,734 (NEW),2776,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,31,March,2001,male
2037,COMMERCE,1.6004,736 (NEW),2783,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,1,May,2001,male
2481,COMMERCE,1.3949,1166 (NEW),4973,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,C,new,7,November,2001,female
2484,COMMERCE,1.5999,737 (NEW),2787,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,1,May,2001,female
2500,COMMERCE,1.6243,690 (NEW),2610,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,B,new,5,September,2001,female
2518,COMMERCE,1.6306,678 (NEW),2551,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,A,new,22,December,2001,female
2528,COMMERCE,1.4689,992 (NEW),4080,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,15,November,2001,female
2690,COMMERCE,1.4467,1055 (NEW),4332,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,A,new,23,September,2001,female
2716,COMMERCE,1.4816,963 (NEW),3946,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,A,new,20,May,2001,female
2787,ARTS,1.5903,403 (NEW),3779,2020,POLITICAL SCIENCE,A,COMMUNICATION & MEDIA STUDIES,A,ORIENTAL MUSIC,A,042,A,new,26,July,2001,female
3480,ARTS,1.6765,323 (NEW),2748,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,064,A,new,15,May,2001,male
3803,COMMERCE,1.5013,928 (NEW),3748,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,C,new,8,October,2001,male
3807,COMMERCE,1.4741,979 (NEW),4015,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,B,new,26,January,2002,male
3819,COMMERCE,1.5923,751 (NEW),2852,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,6,November,2001,male
3854,COMMERCE,1.5058,920 (NEW),3682,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,A,new,16,August,2001,male
3935,COMMERCE,1.5689,791 (NEW),3066,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,A,new,30,August,2001,male
3944,COMMERCE,1.6237,692 (NEW),2616,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,B,new,17,April,2001,male
3948,COMMERCE,1.4655,1004 (NEW),4117,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,B,new,5,July,2001,male
3952,COMMERCE,1.617,699 (NEW),2662,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,C,new,22,March,2001,male
4695,ARTS,1.6629,338 (NEW),2906,2020,COMMUNICATION & MEDIA STUDIES,A,DANCING(INDIGENOUS),A,SINHALA,A,054,S,new,30,May,2001,female
4723,COMMERCE,1.5451,845 (NEW),3297,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,S,new,3,October,2001,female
4779,COMMERCE,1.5976,742 (NEW),2806,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,S,new,4,January,2002,female
4848,COMMERCE,1.4694,988 (NEW),4066,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,A,new,22,March,2000,female
4945,COMMERCE,1.498,934 (NEW),3786,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,C,new,4,May,2000,female
4967,COMMERCE,1.6353,665 (NEW),2510,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,B,new,9,November,2001,male
5005,COMMERCE,1.616,702 (NEW),2667,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,S,new,17,October,2001,male
5022,COMMERCE,1.4302,1086 (NEW),4529,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,Absent,new,10,February,2001,male
5114,COMMERCE,1.5195,891 (NEW),3545,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,22,August,2001,male
5162,COMMERCE,1.4092,1135 (NEW),4777,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,C,new,11,June,2001,male
5476,COMMERCE,1.5897,754 (NEW),2870,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,B,new,28,March,2001,male
5627,COMMERCE,1.5862,759 (NEW),2900,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,22,November,2001,male
6098,COMMERCE,1.6329,673 (NEW),2534,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,B,new,3,October,2001,female
6129,COMMERCE,1.6282,683 (NEW),2567,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,C,new,14,October,2001,female
6134,COMMERCE,1.5464,843 (NEW),3292,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,S,new,18,June,2001,female
6141,COMMERCE,1.614,706 (NEW),2682,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,30,January,2002,female
6148,COMMERCE,1.5559,817 (NEW),3199,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,040,A,new,26,October,2001,female
6172,COMMERCE,1.6094,714 (NEW),2708,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,A,new,9,March,2001,female
6176,COMMERCE,1.4535,1040 (NEW),4244,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,B,new,12,October,2001,female
6192,COMMERCE,1.4678,997 (NEW),4096,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,B,new,28,May,2001,female
6211,COMMERCE,1.5999,737 (NEW),2787,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,A,new,19,April,2001,female
6214,COMMERCE,1.4689,992 (NEW),4080,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,C,new,14,September,2001,female
6224,COMMERCE,1.5563,813 (NEW),3193,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,9,May,2001,female
6244,COMMERCE,1.625,689 (NEW),2602,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,C,new,11,July,2001,female
6284,ARTS,1.4648,538 (NEW),5728,2020,HISTORY OF SRI LANKA & INDIA,A,DANCING(INDIGENOUS),A,SINHALA,A,042,F,new,19,December,2001,female
6309,COMMERCE,1.5268,872 (NEW),3467,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,A,new,14,June,2001,female
6310,ARTS,1.5293,468 (NEW),4631,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,038,C,new,5,March,2001,female
6314,ARTS,1.5798,415 (NEW),3904,2020,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,JAPANESE,A,046,S,new,3,October,2001,female
7102,COMMERCE,1.5537,826 (NEW),3222,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,17,March,2000,male
7204,COMMERCE,1.5572,811 (NEW),3184,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,032,A,new,8,September,2001,male
7298,COMMERCE,1.5974,743 (NEW),2807,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,S,new,8,March,2001,male
7449,COMMERCE,1.6162,701 (NEW),2666,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,B,new,11,July,2001,female
7998,COMMERCE,1.463,1011 (NEW),4143,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,A,new,14,May,2001,male
8014,COMMERCE,1.5901,753 (NEW),2865,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,C,new,18,May,2001,male
8130,COMMERCE,1.5436,848 (NEW),3307,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,A,new,29,April,2001,male
8302,COMMERCE,1.6175,698 (NEW),2655,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,B,new,6,February,2001,male
8403,COMMERCE,1.5088,916 (NEW),3653,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,S,new,24,September,2001,male
8998,ARTS,1.5424,448 (NEW),4402,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & EUROPE,A,SINHALA,A,050,B,new,4,December,2001,female
9005,COMMERCE,1.6062,726 (NEW),2739,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,C,new,9,April,2001,female
9055,ARTS,1.6956,303 (NEW),2515,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,040,B,new,30,December,2001,female
9533,COMMERCE,1.5993,739 (NEW),2789,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,11,November,2001,female
9547,COMMERCE,1.5259,875 (NEW),3479,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,B,new,23,July,2001,female
9553,COMMERCE,1.5094,915 (NEW),3647,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,B,new,8,May,2001,female
9586,COMMERCE,1.5708,784 (NEW),3051,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,B,new,27,February,2001,female
9591,COMMERCE,1.5688,792 (NEW),3067,2020,ECONOMICS,A,BUSINESS STATISTICS,A,ACCOUNTING,A,052,A,new,24,February,2001,female
9596,COMMERCE,1.5965,744 (NEW),2810,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,A,new,12,October,2001,female
9615,COMMERCE,1.6066,725 (NEW),2736,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,A,new,25,August,2001,female
9620,COMMERCE,1.6271,684 (NEW),2582,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,4,March,2001,female
9623,COMMERCE,1.4546,1034 (NEW),4227,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,044,C,new,14,July,2001,female
9650,COMMERCE,1.5503,831 (NEW),3247,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,B,new,3,November,2001,female
9699,ARTS,1.3892,633 (NEW),7135,2020,ECONOMICS,A,HISTORY OF SRI LANKA & INDIA,A,JAPANESE,A,046,B,new,23,August,2001,female
9753,ARTS,1.4873,509 (NEW),5328,2020,HISTORY OF SRI LANKA & INDIA,A,ORIENTAL MUSIC,A,HINDI,A,044,C,new,31,August,2001,female
9806,ARTS,1.1174,1032 (NEW),13726,2020,HISTORY OF SRI LANKA & INDIA,A,ORIENTAL MUSIC,A,CHINESE,A,056,A,new,29,July,2001,female
10544,COMMERCE,1.3812,1200 (NEW),5125,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,A,new,24,January,2002,male
10597,COMMERCE,1.6271,684 (NEW),2582,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,B,new,29,August,2001,male
10618,COMMERCE,1.5561,815 (NEW),3197,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,070,A,new,16,March,2001,male
10699,COMMERCE,1.6346,666 (NEW),2516,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,B,new,3,May,2001,male
10732,COMMERCE,1.5334,866 (NEW),3409,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,A,new,28,December,2001,male
10773,ARTS,1.4391,568 (NEW),6219,2020,ECONOMICS,A,POLITICAL SCIENCE,A,ORIENTAL MUSIC,A,072,C,new,28,January,2002,male
10814,ARTS,1.6653,335 (NEW),2881,2020,POLITICAL SCIENCE,A,ORIENTAL MUSIC,A,SINHALA,A,046,C,new,26,February,2001,male
10918,COMMERCE,1.6147,704 (NEW),2675,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,070,A,new,24,September,2001,male
11002,COMMERCE,1.4195,1109 (NEW),4655,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,C,new,10,November,2001,male
11476,COMMERCE,1.6204,694 (NEW),2636,2020,ECONOMICS,A,BUSINESS STATISTICS,A,ACCOUNTING,A,066,A,new,15,November,2001,female
11645,COMMERCE,1.4644,1005 (NEW),4126,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,A,new,26,February,2001,male
11675,COMMERCE,1.4713,986 (NEW),4042,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,074,A,new,1,May,2001,male
11766,COMMERCE,1.482,962 (NEW),3940,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,C,new,23,December,2001,male
12206,COMMERCE,1.6344,667 (NEW),2519,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,A,new,4,September,2001,female
12215,COMMERCE,1.3898,1176 (NEW),5017,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,A,new,11,May,2001,female
12225,COMMERCE,1.4772,974 (NEW),3987,2020,ECONOMICS,A,BUSINESS STATISTICS,A,ACCOUNTING,A,062,A,new,21,November,2001,female
12243,COMMERCE,1.6113,710 (NEW),2694,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,2,January,2002,female
12588,COMMERCE,1.6135,707 (NEW),2686,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,A,new,15,October,2001,female
12601,COMMERCE,1.4587,1025 (NEW),4195,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,B,new,18,May,2001,female
12604,COMMERCE,1.5503,831 (NEW),3247,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,C,new,14,March,2001,female
12614,COMMERCE,1.4747,977 (NEW),4009,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,22,June,2001,female
12651,COMMERCE,1.5606,806 (NEW),3147,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,B,new,13,April,2001,female
12653,COMMERCE,1.4552,1033 (NEW),4221,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,A,new,12,March,2001,female
12654,COMMERCE,1.536,864 (NEW),3392,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,B,new,1,October,2001,female
12659,COMMERCE,1.5066,919 (NEW),3674,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,B,new,13,September,2001,female
12686,COMMERCE,1.5691,789 (NEW),3063,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,B,new,8,June,2001,female
12687,COMMERCE,1.5861,761 (NEW),2902,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,A,new,18,May,2001,female
12692,COMMERCE,1.5618,804 (NEW),3134,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,C,new,2,November,2001,female
12733,ARTS,1.5292,469 (NEW),4636,2020,ECONOMICS,A,SINHALA,A,JAPANESE,A,058,A,new,6,December,2001,female
13378,COMMERCE,1.557,812 (NEW),3189,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,A,new,16,February,2001,female
13391,COMMERCE,1.5041,924 (NEW),3708,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,A,new,31,October,2001,female
13415,COMMERCE,1.4627,1015 (NEW),4150,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,A,new,4,January,2002,female
13428,COMMERCE,1.5788,775 (NEW),2965,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,A,new,26,February,2001,female
13444,COMMERCE,1.5867,757 (NEW),2895,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,15,January,2002,female
13526,COMMERCE,1.538,861 (NEW),3367,2020,ECONOMICS,A,BUSINESS STATISTICS,A,ACCOUNTING,A,080,B,new,31,May,2001,female
13567,COMMERCE,1.4285,1092 (NEW),4552,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,A,new,18,February,2001,female
13616,ARTS,1.6816,316 (NEW),2681,2020,ECONOMICS,A,COMMUNICATION & MEDIA STUDIES,A,JAPANESE,A,052,B,new,30,November,2001,female
13817,COMMERCE,1.5828,765 (NEW),2932,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,B,new,9,November,2001,female
13834,COMMERCE,1.5862,759 (NEW),2900,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,070,A,new,7,December,2001,female
13835,COMMERCE,1.5402,856 (NEW),3343,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,A,new,3,December,2001,female
13915,COMMERCE,1.5822,767 (NEW),2935,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,044,A,new,8,November,2001,female
13930,COMMERCE,1.375,1215 (NEW),5189,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,A,new,18,March,2001,female
14336,COMMERCE,1.5953,747 (NEW),2820,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,A,new,7,December,2001,female
14387,ARTS,1.2763,789 (NEW),9705,2020,POLITICAL SCIENCE,A,CHRISTIANITY,A,ORIENTAL MUSIC,A,036,C,new,29,June,2001,female
14558,COMMERCE,1.4775,973 (NEW),3981,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,A,new,1,January,2002,female
14577,COMMERCE,1.6306,678 (NEW),2551,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,28,December,2001,female
14981,COMMERCE,1.5861,761 (NEW),2902,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,B,new,23,March,2001,male
15123,COMMERCE,1.4599,1020 (NEW),4178,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,A,new,1,May,2001,male
15207,COMMERCE,1.6068,723 (NEW),2734,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,A,new,24,February,2001,male
15212,COMMERCE,1.5886,756 (NEW),2881,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,A,new,17,May,2001,male
15233,COMMERCE,1.5698,787 (NEW),3060,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,A,new,8,July,2001,male
15251,COMMERCE,1.4411,1067 (NEW),4405,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,044,A,new,11,April,2001,male
15343,ARTS,1.6686,330 (NEW),2846,2020,POLITICAL SCIENCE,A,ISLAMIC CIVILIZATION,A,ARABIC,A,036,A,new,9,September,2001,female
